Name,Alias,Nationality,Designation,Sanction Type,Source
MOHAMMAD HASSAN AKHUND,,Afghanistan,,1988 Taliban,A close associate of Mullah Mohammed Omar (TI
Abdul Kabir Mohammad Jan,,Afghanistan,,1988 Taliban,Australia
A Kabir,,Afghanistan,,1988 Taliban,Australia
Mohammed Omar GHULAM NABI,Mullah Musafir,Afghanistan,Leader of the Faithful Amir ul,1988 Taliban,Australia
Muhammad Taher Anwari,,Afghanistan,,1988 Taliban,Australia
Mohammad Taher Anwari,,Afghanistan,,1988 Taliban,Australia
Muhammad Tahir Anwari,,Afghanistan,,1988 Taliban,Australia
Haji Mudir,,Afghanistan,,1988 Taliban,Australia
Mohammad Tahre Anwari,,Afghanistan,,1988 Taliban,Australia
Sayyed Mohammed Haqqani,,Afghanistan,,1988 Taliban,Australia
Sayyed Mohammad Haqqani,,Afghanistan,,1988 Taliban,Australia
Abdul Latif Mansur,,Afghanistan,Minister of Agriculture under the Taliban regime,1988 Taliban,Australia
Abdul Latif Mansoor,,Afghanistan,Minister of Agriculture under the Taliban regime,1988 Taliban,Australia
Wali Mohammad,,Afghanistan,Minister of Agriculture under the Taliban regime,1988 Taliban,Australia
Shams urRahman Abdul Zahir,,Afghanistan,Deputy Minister of Agriculture under the Taliban regime,1988 Taliban,Australia
Shamsurrahman,,Afghanistan,Deputy Minister of Agriculture under the Taliban regime,1988 Taliban,Australia
ShamsuRahman,,Afghanistan,Deputy Minister of Agriculture under the Taliban regime,1988 Taliban,Australia
Shamsurrahman Abdurahman,,Afghanistan,Deputy Minister of Agriculture under the Taliban regime,1988 Taliban,Australia
Shams urRahman Sher Alam,,Afghanistan,Deputy Minister of Agriculture under the Taliban regime,1988 Taliban,Australia
Attiqullah Akhund,,Afghanistan,Deputy Minister of Agriculture under the Taliban regime,1988 Taliban,Australia
Akhtar Mohammad Mansour Shah Mohammed,,Afghanistan,Minister of Civil Aviation and Transportation under the Taliban regime,1988 Taliban,Australia
Akhtar Mohammad Mansour Khan Muhammad,,Afghanistan,Minister of Civil Aviation and Transportation under the Taliban regime,1988 Taliban,Australia
Akhtar Muhammad Mansoor,,Afghanistan,Minister of Civil Aviation and Transportation under the Taliban regime,1988 Taliban,Australia
Akhtar Mohammad Mansoor,,Afghanistan,Minister of Civil Aviation and Transportation under the Taliban regime,1988 Taliban,Australia
Naib Imam,,Afghanistan,Minister of Civil Aviation and Transportation under the Taliban regime,1988 Taliban,Australia
Mohammad Naim Barich Khudaidad,,Afghanistan,Deputy Minister of Civil Aviation the Taliban regime,1988 Taliban,Australia
Mullah Naeem Barech,,Afghanistan,Deputy Minister of Civil Aviation the Taliban regime,1988 Taliban,Australia
Mullah Naeem Baraich,,Afghanistan,Deputy Minister of Civil Aviation the Taliban regime,1988 Taliban,Australia
Mullah Naimullah,,Afghanistan,Deputy Minister of Civil Aviation the Taliban regime,1988 Taliban,Australia
Mullah Naim Bareh,,Afghanistan,Deputy Minister of Civil Aviation the Taliban regime,1988 Taliban,Australia
Mohammad Naim,,Afghanistan,Deputy Minister of Civil Aviation the Taliban regime,1988 Taliban,Australia
Mullah Naim Barich,,Afghanistan,Deputy Minister of Civil Aviation the Taliban regime,1988 Taliban,Australia
Mullah Naim Barech,,Afghanistan,Deputy Minister of Civil Aviation the Taliban regime,1988 Taliban,Australia
Mullah Naim Barech Akhund,,Afghanistan,Deputy Minister of Civil Aviation the Taliban regime,1988 Taliban,Australia
Mullah Naeem Baric,,Afghanistan,Deputy Minister of Civil Aviation the Taliban regime,1988 Taliban,Australia
Naim Berich,,Afghanistan,Deputy Minister of Civil Aviation the Taliban regime,1988 Taliban,Australia
Haji Gul Mohammed Naim Barich,,Afghanistan,Deputy Minister of Civil Aviation the Taliban regime,1988 Taliban,Australia
Gul Mohammad,,Afghanistan,Deputy Minister of Civil Aviation the Taliban regime,1988 Taliban,Australia
Haji Ghul Mohammad,,Afghanistan,Deputy Minister of Civil Aviation the Taliban regime,1988 Taliban,Australia
Gul Mohammad Kamran,,Afghanistan,Deputy Minister of Civil Aviation the Taliban regime,1988 Taliban,Australia
Spen Zrae,,Afghanistan,Deputy Minister of Civil Aviation the Taliban regime,1988 Taliban,Australia
Mawlawi Gul Mohammad,,Afghanistan,Deputy Minister of Civil Aviation the Taliban regime,1988 Taliban,Australia
Hidayatullah,,Afghanistan,Deputy Minister of Civil Aviation and Tourism under the Taliban regime,1988 Taliban,Australia
Abu Turab,,Afghanistan,Deputy Minister of Civil Aviation and Tourism under the Taliban regime,1988 Taliban,Australia
Yar Mohammad Rahimi,,Afghanistan,Minister of Communication under the Taliban regime,1988 Taliban,Australia
Allah Dad Tayeb Wali Muhammad,,Afghanistan,Deputy Minister of Communication under the Taliban regime,1988 Taliban,Australia
