Name,Alias,Nationality,Designation,Sanction Type,Source
HAJI KHAIRULLAH HAJI SATTAR MONEY EXCHANGE,"Haji Alim Hawala, Haji Hakim Hawala, Haji Khair Ullah Money Service, Haji Khairullah and Abdul Sattar and Company, Haji Khairullah Money Exchange, Haji Khairullah-Haji Sattar Sarafi, Haji Salam Hawala, Sarafi-yi Haji Khairullah Haji Satar Haji Esmatullah","Afghanistan, Iran, Pakistan, United Arab Emirates",Member of the State Duma of the Russian Federation,The Afghanistan (Sanctions) (EU Exit) Regulations 2020,uk
ROSHAN MONEY EXCHANGE,"Haji Ahmad Shah Hawala, Maulawi Ahmed Shah Hawala, Mullah Ahmed Shah Hawala, Roshan Sarafi, Roshan Shirkat, Roshan Trading Company, Rushaan Trading Company","Afghanistan, Pakistan",Member of the State Duma of the Russian Federation,The Afghanistan (Sanctions) (EU Exit) Regulations 2020,uk
RAHAT LTD.,"Haji Muhammad Qasim Sarafi, Musa Kalim Hawala, New Chagai Trading, Rahat Trading Company","Afghanistan, Iran, Pakistan",Member of the State Duma of the Russian Federation,The Afghanistan (Sanctions) (EU Exit) Regulations 2020,uk
HAJI BASIR AND ZARJMIL COMPANY HAWALA,"Haji Abdul Basir and Zar Jameel Hawala, Haji Abdul Basir Exchange Shop, Haji Baseer Hawala, Haji Bashir and Zarjmil Hawala Company, Haji Basir and Zarjamil Currency Exchange, Haji Basir Hawala, Haji Zar Jamil, Haji Abdul Baseer Money Changer","Afghanistan, Iran, Pakistan, United Arab Emirates",Member of the State Duma of the Russian Federation,The Afghanistan (Sanctions) (EU Exit) Regulations 2020,uk
MAZLOOM,"Fazl, Mazloom",Qatar,Deputy Chief of Army Staff of the Taliban regime,The Afghanistan (Sanctions) (EU Exit) Regulations 2020,uk
WASSIQ,"WASIQ, WASSEQ",Qatar,Deputy Minister of Security (Intelligence) under the Taliban regime,The Afghanistan (Sanctions) (EU Exit) Regulations 2020,uk
NURI,Noori,Qatar,Governor of Balkh Province under the Taliban Regime,The Afghanistan (Sanctions) (EU Exit) Regulations 2020,uk
KHAIRKHWAH,"KHAIRKHWA, Khairkhwah",Qatar,Governor of Herat Province under the Taliban regime,The Afghanistan (Sanctions) (EU Exit) Regulations 2020,uk
SHER MOHAMMAD,"Akhund, Gul",Afghanistan,Head of Ariana Afghan Airlines under the Taliban regime,The Afghanistan (Sanctions) (EU Exit) Regulations 2020,uk
ABDUL GHANI,QURESHI,Afghanistan,"Repatriation Attache, Taliban Embassy, Islamabad, Pakistan",The Afghanistan (Sanctions) (EU Exit) Regulations 2020,uk
