Name,Alias,Nationality,Designation,Sanction Type,Source
AEROCARIBBEAN AIRLINES,AERO-CARIBBEAN,Unknown,Entity,CUBA,USOFAC_SDN
"ANGLO-CARIBBEAN CO., LTD.",AVIA IMPORT,Unknown,Entity,CUBA,USOFAC_SDN
BANCO NACIONAL DE CUBA,BNC,Unknown,Entity,CUBA,USOFAC_SDN
BOUTIQUE LA MAISON,None,Unknown,Entity,CUBA,USOFAC_SDN
CASA DE CUBA,None,Unknown,Entity,CUBA,USOFAC_SDN
"CECOEX, S.A.",None,Unknown,Entity,CUBA,USOFAC_SDN
CIMEX,None,Unknown,Entity,CUBA,USOFAC_SDN
CIMEX IBERICA,None,Unknown,Entity,CUBA,USOFAC_SDN
"CIMEX, S.A.",None,Unknown,Entity,CUBA,USOFAC_SDN
"COMERCIAL IBEROAMERICANA, S.A.",COIBA,Unknown,Entity,CUBA,USOFAC_SDN
"COMERCIAL CIMEX, S.A.",None,Unknown,Entity,CUBA,USOFAC_SDN
"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",CRYMSA,Unknown,Entity,CUBA,USOFAC_SDN
COMERCIALIZACION DE PRODUCTOS VARIOS,COPROVA,Unknown,Entity,CUBA,USOFAC_SDN
COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,CIMEX,Unknown,Entity,CUBA,USOFAC_SDN
"CORPORACION CIMEX, S.A.",None,Unknown,Entity,CUBA,USOFAC_SDN
COTEI,None,Unknown,Entity,CUBA,USOFAC_SDN
"CRYMSA - ARGENTINA, S.A.",None,Unknown,Entity,CUBA,USOFAC_SDN
CUBACANCUN CIGARS AND GIFT SHOPS,None,Unknown,Entity,CUBA,USOFAC_SDN
CUBAEXPORT,None,Unknown,Entity,CUBA,USOFAC_SDN
CUBAFRUTAS,None,Unknown,Entity,CUBA,USOFAC_SDN
CUBAN CIGARS TRADE,None,Unknown,Entity,CUBA,USOFAC_SDN
CUBANATUR,None,Unknown,Entity,CUBA,USOFAC_SDN
CUBATABACO,None,Unknown,Entity,CUBA,USOFAC_SDN
"CUMEXINT, S.A.",None,Unknown,Entity,CUBA,USOFAC_SDN
"DELVEST HOLDING, S.A.",DELVEST HOLDING COMPANY,Unknown,Entity,CUBA,USOFAC_SDN
EDICIONES CUBANAS,None,Unknown,Entity,CUBA,USOFAC_SDN
"EDYJU, S.A.",None,Unknown,Entity,CUBA,USOFAC_SDN
EMPRESA CUBANA DE AVIACION,CUBANA AIRLINES,Unknown,Entity,CUBA,USOFAC_SDN
EMPRESA CUBANA DE PESCADOS Y MARISCOS,CARIBEX,Unknown,Entity,CUBA,USOFAC_SDN
EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,CUBATUR,Unknown,Entity,CUBA,USOFAC_SDN
ETCO INTERNATIONAL COMMODITIES LTD.,None,Unknown,Entity,CUBA,USOFAC_SDN
"ETCO INTERNATIONAL COMPANY, LIMITED",None,Unknown,Entity,CUBA,USOFAC_SDN
"GALAX TRADING CO., LTD.",GALAX INC.,Unknown,Entity,CUBA,USOFAC_SDN
HAVIN BANK LIMITED,"HAVANA INTERNATIONAL BANK, LTD",Unknown,Entity,CUBA,USOFAC_SDN
HAVANATUR,None,Unknown,Entity,CUBA,USOFAC_SDN
INSTITUTO NACIONAL DE TURISMO DE CUBA,None,Unknown,Entity,CUBA,USOFAC_SDN
INTERCONSULT,None,Unknown,Entity,CUBA,USOFAC_SDN
"KAVE, S.A.",None,Unknown,Entity,CUBA,USOFAC_SDN
LA EMPRESA CUBANA DE FLETES,CUFLET,Unknown,Entity,CUBA,USOFAC_SDN
"LEVERAGE, S.A.",None,Unknown,Entity,CUBA,USOFAC_SDN
NIREF,None,Unknown,Entity,CUBA,USOFAC_SDN
NORDSTRAND LTD.,None,Unknown,Entity,CUBA,USOFAC_SDN
NORDSTRAND MARITIME AND TRADING COMPANY,None,Unknown,Entity,CUBA,USOFAC_SDN
PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,None,Unknown,Entity,CUBA,USOFAC_SDN
"PESCABRAVA, S.A.",None,Unknown,Entity,CUBA,USOFAC_SDN
PRELASA,None,Unknown,Entity,CUBA,USOFAC_SDN
PRENSA LATINA CANADA LTD.,None,Unknown,Entity,CUBA,USOFAC_SDN
PRENSA LATINA,None,Unknown,Entity,CUBA,USOFAC_SDN
"SERVINAVES, S.A.",None,Unknown,Entity,CUBA,USOFAC_SDN
"TROBER, S.A.","TROVER, S.A.",Unknown,Entity,CUBA,USOFAC_SDN
TROPIC TOURS GMBH,TROPICANA TOURS GMBH,Unknown,Entity,CUBA,USOFAC_SDN
"VIAJES GUAMA, S.A.",None,Unknown,Entity,CUBA,USOFAC_SDN
VINALES TOURS,None,Unknown,Entity,CUBA,USOFAC_SDN
Abu ABBAS,ZAYDAN,Unknown,Individual,SDGT,USOFAC_SDN
Shaykh Umar Abd AL RAHMAN,None,Unknown,Individual,SDGT,USOFAC_SDN
Dr. Ayman AL ZAWAHIRI,AL-ZAWAHIRI,Unknown,Individual,SDGT,USOFAC_SDN
Abboud Abdul Latif Hassan AL-ZOMOR,ZUMAR,Egypt,Individual,SDGT,USOFAC_SDN
Abd Al Aziz AWDA,None,Unknown,Individual,SDGT,USOFAC_SDN
Shaykh Muhammad Husayn FADLALLAH,None,Unknown,Individual,SDGT,USOFAC_SDN
