Name,Alias,Nationality,Designation,Sanction Type,Source
MUHAMMAD TAHER ANWARI,Mohammad Taher Anwari,Afghanistan,"a) Director of Administrative Affairs under the Taliban
regime",Taliban,UN
ABDUL LATIF MANSUR,Abdul Latif Mansoor,Afghanistan,Minister of Agriculture under the Taliban regime,Taliban,UN
ABDUL KABIR MOHAMMAD JAN,A. Kabir,Afghanistan,"Second Deputy, Economic Affairs, Council of Ministers under the Taliban
regime",Taliban,UN
MOHAMMED OMAR GHULAM NABI,,Afghanistan,"Leader of the Faithful ('Amir ul-Mumineen'), Afghanistan",Taliban,UN
SAYYED MOHAMMED HAQQANI,Sayyed Mohammad Haqqani,Afghanistan,Director of Administrative Affairs under the Taliban regime,Taliban,UN
SHAMS UR-RAHMAN ABDUL ZAHIR,Shamsurrahman,Afghanistan,Deputy Minister of Agriculture under the Taliban regime,Taliban,UN
MOHAMMAD NAIM BARICH KHUDAIDAD,Mullah Naeem Barech,Afghanistan,"Deputy Minister of Civil Aviation under the Taliban
regime",Taliban,UN
FAZL MOHAMMAD MAZLOOM,Molah Fazl,Afghanistan,Deputy Chief of Army Staff of the Taliban regime,Taliban,UN
SAID AHMED SHAHIDKHEL,,Afghanistan,Deputy Minister of Education under the Taliban regime,Taliban,UN
MOHAMMAD AHMADI,,Afghanistan,"President of Central Bank (Da Afghanistan Bank) under the Taliban
regime",Taliban,UN
ABDUL RAHMAN ZAHED,Abdul Rehman Zahid,Afghanistan,"Deputy Minister of Foreign Affairs under the Taliban
regime",Taliban,UN
FAIZ,,Afghanistan,"Head of the Information Department, Ministry of Foreign Affairs under the
Taliban regime",Taliban,UN
ABDUL BAQI BASIR AWAL SHAH,Abdul Baqi,Afghanistan,"Governor of Khost and Paktika provinces under the Taliban
regime",Taliban,UN
JALALUDDIN HAQQANI,Jalaluddin Haqani,Afghanistan,Minister of Frontier Affairs under the Taliban regime,Taliban,UN
DIN MOHAMMAD HANIF,Qari Din Mohammad,Afghanistan,"a) Minister of Planning under the Taliban regime b) Minister of Higher
Education under the Taliban regime",Taliban,UN
EZATULLAH HAQQANI KHAN SAYYID,Ezatullah Haqqani (previously listed as),Afghanistan,Deputy Minister of Planning under the Taliban regime,Taliban,UN
MOHAMMAD ABBAS AKHUND,,Afghanistan,Mayor of Kandahar under the Taliban regime,Taliban,UN
RUSTUM HANAFI HABIBULLAH,Rostam Nuristani,Afghanistan,Deputy Minister of Public Works under the Taliban regime,Taliban,UN
SAYYED GHIASSOUDDINE AGHA,Sayed Ghias,Afghanistan,"Minister of Haj and Religious Affairs under the Taliban
regime",Taliban,UN
ABDUL-HAQ WASSIQ,Abdul-Haq Wasseq,Afghanistan,"Deputy Minister of Security (Intelligence) under the Taliban
regime",Taliban,UN
ABDUL JABBAR OMARI,Mullah Jabbar,Afghanistan,Governor of Baghlan Province under the Taliban regime,Taliban,UN
NURULLAH NURI,Norullah Noori,Afghanistan,Governor of Balkh Province under the Taliban Regime,Taliban,UN
WALIJAN,,Afghanistan,Governor of Jawzjan Province under the Taliban regime,Taliban,UN
MOHAMMAD HASAN RAHMANI,Gud Mullah Mohammad Hassan,Afghanistan,Governor of Kandahar Province under the Taliban regime,Taliban,UN
ABDUL MANAN NYAZI,Abdul Manan Nayazi,Afghanistan,Governor of Kabul Province under the Taliban regime,Taliban,UN
NAZIR MOHAMMAD ABDUL BASIR,Nazar Mohammad,Afghanistan,Mayor of Kunduz City,Taliban,UN
ZIA-UR-RAHMAN MADANI,Ziaurrahman Madani,Afghanistan,Governor of Logar Province under the Taliban regime,Taliban,UN
AHMAD TAHA KHALID ABDUL QADIR,,Afghanistan,Governor of Paktia Province under the Taliban regime,Taliban,UN
AMINULLAH AMIN QUDDUS,Muhammad Yusuf,Afghanistan,Governor of Saripul Province under the Taliban regime,Taliban,UN
ABDUL RAHMAN AGHA,,Afghanistan,"Chief Justice of Military Court under the Taliban
regime",Taliban,UN
ATTIQULLAH AKHUND,,Afghanistan,Deputy Minister of Agriculture under the Taliban regime,Taliban,UN
YAR MOHAMMAD RAHIMI,,Afghanistan,Minister of Communication under the Taliban regime,Taliban,UN
ALLAH DAD TAYEB WALI,Allah Dad Tayyab,Afghanistan,"Deputy Minister of Communication under the Taliban
regime",Taliban,UN
NIK MOHAMMAD DOST MOHAMMAD,Nik Mohammad,Afghanistan,Deputy Minister of Commerce under the Taliban regime,Taliban,UN
ALLAH DAD MATIN,Allahdad,Afghanistan,Minister of Urban Development under the Taliban regime,Taliban,UN
UBAIDULLAH AKHUND YAR MOHAMMAD AKHUND,Obaidullah Akhund,Afghanistan,Minister of Defence under the Taliban regime,Taliban,UN
ABDUL GHANI BARADAR ABDUL AHMAD TURK,Mullah Baradar Akhund,Afghanistan,Deputy Minister of Defence under the Taliban regime,Taliban,UN
ABDUL RAUF KHADEM,Mullah Abdul Rauf Aliza,Afghanistan,Commander of Central Corps under the Taliban regime,Taliban,UN
AMIR KHAN MOTAQI,Amir Khan Muttaqi,Afghanistan,Minister of Education under the Taliban regime,Taliban,UN
ABDUL SALAM HANAFI ALI MARDAN,Abdussalam Hanifi,Afghanistan,Deputy Minister of Education under the Taliban regime,Taliban,UN
MOHAMMAD JAWAD WAZIRI,,Afghanistan,"UN Department, Ministry of Foreign Affairs under the Taliban
regime",Taliban,UN
MOHAMMAD IBRAHIM OMARI,Ibrahim Haqqani,Afghanistan,"Deputy Minister of Frontier Affairs under the Taliban
regime",Taliban,UN
HAMDULLAH NOMANI,,Afghanistan,Minister of Higher Education under the Taliban regime,Taliban,UN
MOHAMMAD YAQOUB,,Afghanistan,"Head of Bakhtar Information Agency (BIA) under the Taliban
regime",Taliban,UN
SAYED MOHAMMAD AZIM,Sayed Mohammad Azim Agha,Afghanistan,"Director of the Passport and Visa Department in the Ministry of
Interior under the Taliban regime",Taliban,UN
MOHAMMAD ESSA AKHUND,,Afghanistan,"Minister of Water, Sanitation and Electricity under the Taliban
regime",Taliban,UN
SHER MOHAMMAD ABBAS STANEKZAI PADSHAH KHAN,,Afghanistan,"Deputy Minister of Public Health under the Taliban
regime",Taliban,UN
MOHAMMADULLAH MATI,Mawlawi Nanai,Afghanistan,Minister of Public Works under the Taliban regime,Taliban,UN
ATIQULLAH WALI MOHAMMAD,Atiqullah,Afghanistan,"Director of Foreign Relations, Kandahar Province under the Taliban
regime",Taliban,UN
NAJIBULLAH HAQQANI HIDAYATULLAH,Najibullah Haqani,Afghanistan,Deputy Minister of Finance under the Taliban regime,Taliban,UN
ABDUL RAQIB TAKHARI,,Afghanistan,Minister of Repatriation under the Taliban regime,Taliban,UN
MOHAMMAD WALI MOHAMMAD EWAZ,Mohammad Wali,Afghanistan,"Minister of Ministry of Preventing Vice and Propagating Virtue under
the Taliban regime",Taliban,UN
HABIBULLAH RESHAD,,Afghanistan,"Head of Investigation Department, Ministry of Security (Intelligence)
under the Taliban regime",Taliban,UN
AHMED JAN AKHUNDZADA WAZIR,Haji Ahmad Jan,Afghanistan,"Minister of Water and Electricity under the Taliban
regime",Taliban,UN
SADUDDIN SAYYED,Sadudin Sayed,Afghanistan,"Vice-Minister of Work and Social Affairs under the Taliban
regime",Taliban,UN
AKHTAR MOHAMMAD MANSOUR,Akhtar Mohammad Mansour Khan Muhammad,Afghanistan,"Minister of Civil Aviation and Transportation under the Taliban
regime",Taliban,UN
HIDAYATULLAH,Abu Turab,Afghanistan,"Deputy Minister of Civil Aviation and Tourism under the Taliban
regime",Taliban,UN
MATIULLAH,,Afghanistan,"Director, Kabul Custom House under the Taliban regime",Taliban,UN
AREFULLAH AREF GHAZI MOHAMMAD,Arefullah Aref,Afghanistan,Deputy Minister of Finance under the Taliban regime,Taliban,UN
ABDUL JALIL HAQQANI WALI MOHAMMAD,Abdul Jalil Akhund,Afghanistan,"Deputy Minister of Foreign Affairs under the Taliban
regime",Taliban,UN
QUDRATULLAH JAMAL,Haji Sahib,Afghanistan,Minister of Information under the Taliban regime,Taliban,UN
ABDUL RAHMAN AHMAD HOTTAK,Hottak Sahib,Afghanistan,"Deputy (Cultural) Minister of Information and Culture under the Taliban
regime",Taliban,UN
ABDULHAI MOTMAEN,Abdul Haq son of M. Anwar Khan (عبد الحق ولد محمد انور خان),Afghanistan,"Director of the Information and Culture Department in Kandahar
Province under the Taliban regime",Taliban,UN
NOORUDDIN TURABI MUHAMMAD,Noor ud Din Turabi,Afghanistan,Minister of Justice under the Taliban regime,Taliban,UN
MOHAMMAD AZAM ELMI,Muhammad Azami,Afghanistan,"Deputy Minister of Mines and Industries under the Taliban
regime",Taliban,UN
MOHAMMAD MOSLIM HAQQANI,Moslim Haqqani,Afghanistan,"Deputy Minister of Haj and Religious Affairs under the Taliban
regime",Taliban,UN
MOHAMMAD SALIM HAQQANI,,Afghanistan,"Deputy Minister of Preventing Vice and Propagating Virtue under the Taliban
regime",Taliban,UN
SAYED ESMATULLAH ASEM ABDUL QUDDUS,Esmatullah Asem,Afghanistan,"Deputy Minister of Preventing Vice and Propagating Virtue under the
Taliban regime",Taliban,UN
EHSANULLAH SARFIDA HESAMUDDIN,Ehsanullah Sarfadi,Afghanistan,"Deputy Minister of Security (Intelligence) under the Taliban
regime",Taliban,UN
DOST MOHAMMAD,Doost Mohammad,Afghanistan,Governor of Ghazni Province under the Taliban regime,Taliban,UN
